HebCal Title,HebCal Category,Date,Location,Israel Mode,Matched Tag,Match Type,Hebrew Year
Rosh Hashana 5844,holiday,2083-09-13,Salford,false,rosh_hashana,group,5844
Rosh Hashana 5845,holiday,2084-09-30,Jerusalem,true,rosh_hashana,group,5845
Rosh Hashana 5845,holiday,2084-09-30,Salford,false,rosh_hashana,group,5845
Rosh Hashana 5846,holiday,2085-09-20,Jerusalem,true,rosh_hashana,group,5846
Rosh Hashana 5846,holiday,2085-09-20,Salford,false,rosh_hashana,group,5846
Rosh Hashana 5847,holiday,2086-09-09,Jerusalem,true,rosh_hashana,group,5847
Rosh Hashana 5847,holiday,2086-09-09,Salford,false,rosh_hashana,group,5847
Rosh Hashana 5848,holiday,2087-09-27,Jerusalem,true,rosh_hashana,group,5848
Rosh Hashana 5848,holiday,2087-09-27,Salford,false,rosh_hashana,group,5848
Rosh Hashana 5849,holiday,2088-09-16,Jerusalem,true,rosh_hashana,group,5849
Rosh Hashana 5849,holiday,2088-09-16,Salford,false,rosh_hashana,group,5849
Rosh Hashana 5850,holiday,2089-09-05,Jerusalem,true,rosh_hashana,group,5850
Rosh Hashana 5850,holiday,2089-09-05,Salford,false,rosh_hashana,group,5850
Rosh Hashana 5851,holiday,2090-09-25,Jerusalem,true,rosh_hashana,group,5851
Rosh Hashana 5851,holiday,2090-09-25,Salford,false,rosh_hashana,group,5851
Rosh Hashana 5852,holiday,2091-09-13,Jerusalem,true,rosh_hashana,group,5852
Rosh Hashana 5852,holiday,2091-09-13,Salford,false,rosh_hashana,group,5852
Rosh Hashana 5853,holiday,2092-10-02,Jerusalem,true,rosh_hashana,group,5853
Rosh Hashana 5853,holiday,2092-10-02,Salford,false,rosh_hashana,group,5853
Rosh Hashana 5854,holiday,2093-09-21,Jerusalem,true,rosh_hashana,group,5854
Rosh Hashana 5854,holiday,2093-09-21,Salford,false,rosh_hashana,group,5854
Rosh Hashana 5855,holiday,2094-09-11,Jerusalem,true,rosh_hashana,group,5855
Rosh Hashana 5855,holiday,2094-09-11,Salford,false,rosh_hashana,group,5855
Rosh Hashana 5856,holiday,2095-09-29,Jerusalem,true,rosh_hashana,group,5856
Rosh Hashana 5856,holiday,2095-09-29,Salford,false,rosh_hashana,group,5856
